claim,true_label,predicted_label,confidence
A mother revealed to her child in a letter after her death that she had just one eye because she had donated the other to him.,false,true,0.4087
Study says too many Americans still drink too much.,true,true,0.6869
"Viral image Says 80% of novel coronavirus cases are ""mild.",true,false,0.5854
"An email says that 9-year old Craig Shergold of Carshalton, Great Britain is dying of Cancer. As a dying wish, he wants to get into the Guinness Book of World Records by collecting the most greeting cards of anybody in history. The email asks that the cards be sent to an address of the Make-A-Wish Foundation.",false,true,0.8715
"Employees at a Five Guys restaurant in Daphne, Alabama, refused to serve local police officers.",unproven,true,0.904
"FBI agent Peter Strzok II grew up in Iran; had a father who engaged in clandestine activities overseas under the guise of doing charitable work; served as a ""Middle East intel operative"" in the Obama administration; and was a CIA agent ""placed"" in the FBI to help Hillary Clinton win the presidency.",unproven,false,0.5047
Roche's schizophrenia drug misses goal in two late-stage trials.,true,true,0.9754
Doctors end protest to demand flu vaccines for migrants.,true,true,0.9868
The Westmoreland News ran a KKK ad on the front page of their newspaper in April 2018.,mixture,false,0.3965
The new supplement InteliGEN can boost brain function.,unproven,true,0.4279
New Chemo Drug May Benefit Some Breast Cancer Patients,true,true,0.3204
Jury finding upends Bayer's Roundup defense strategy: experts.,true,true,0.9939
The media covered up an incident in San Bernardino during which several Muslim men fired upon a number of Californian hikers.,false,true,0.849
The mayonnaise oozing from a chicken sandwich turned out to be pus from a tumor in the chicken.,false,true,0.352
"Lawmakers consider spending, saving $128.5 million surplus.",true,true,0.9922
"A film producer claimed actor Kevin Spacey had ""drugged and raped"" Justin Bieber.",false,false,0.456
Treating at the Earliest Sign of MS May Offer Long-Term Benefit,mixture,mixture,0.3071
Nathan Phillips falsely claimed to be a U.S. military veteran who served in the Vietnam War.,unproven,false,0.6545
Public warned of possible measles exposure in Pennsylvania.,true,true,0.9958
"“While California is dying … Gavin (Newsom) is vacationing in Stevensville, MT!”",false,false,0.5121
"Early in America's history, white Irish slaves outnumbered black slaves and endured worse treatment at the hands of their masters.",mixture,true,0.5553
Britain backs GSK's gene therapy for 'bubble boy' syndrome.,true,true,0.9964
Queen Elizabeth II wore a Burmese Ruby Tiara as a slight against U.S. President Donald Trump.,false,true,0.5432
South Korea court strikes down abortion law in landmark ruling.,true,true,0.9939
Houston reports 3 teens treated for vape-related lung issues.,true,true,0.995
Scientists look to stem cells to mend broken hearts,false,true,0.7611
Study suggests a second LDL test,false,true,0.4771
Scientists debate cause of dolphin deaths.,true,true,0.9922
A lot of the problems with forest fires ... is because of bad policy (not to clear out the forests) that was put in place by environmentalists.,false,false,0.3993
"United States President Donald Trump tweeted """"it is unbelievable that President Obama criticized me for the coronavirus response"" and ""he had 8 years to 'prepair' the next president for a pandemic and he failed.",false,false,0.5782
Artificial Pancreas Continues to Show Promise,false,true,0.5765
"Obamacare ""cuts seniors’ Medicare.",false,true,0.4424
Evacuation plan 'out the window' when fire hit California town.,true,true,0.9772
"Treating First Time Shoulder Dislocations with Surgery Can Benefit Young Athletes, Study Shows",false,true,0.7212
"Novartis hopeful for novel heart drug, despite 'modest' benefit",true,true,0.8124
"People can fly with dogs, pot-bellied pigs, turkeys, monkeys, and miniature horses if they claim that their pets are emotional support animals.",true,false,0.331
"Gabon president fires VP, forests minister over hardwood scandal.",true,true,0.9533
Prince Harry joins Elton John to launch HIV campaign targeting men.,true,true,0.8081
"Suicide kills one person every 40 seconds, says WHO.",true,false,0.4654
Photographs show a boy having his arm crushed under a truck as a punishment for stealing bread.,false,true,0.8976
"Hospitals plan for 'COVID cabanas,' conference rooms to house patients.",true,true,0.9892
Castration Drug Used as Autism Therapy,true,true,0.4037
"A forwarded email that blames President Obama for delays in the rescue of Richard Phillips, the captain of the ship named the Maersk Alabama, which was taken over by pirates off the coast of the African country of Somalia. It claims that Obama delayed the deployment of Navy Seals by 36 hours and limited the rules of engagement so the rescuers could not act unless Captain Phillips’ life was imminent danger.",false,false,0.7267
A Time magazine cover from 1977 with the title “The Big Freeze” is an example of media fearmongering over “global cooling” in the 1970s.,false,false,0.3806
People who undergo amputations can sign paperwork allowing them to take the removed limbs home after the procedure.,mixture,true,0.7387
Wyoming QB Allen still day-to-day on injury.,true,true,0.9919
Strobe lighting provides a flicker of hope in the fight against Alzheimer’s,false,true,0.6698
Trump vows 'major' steps to aid U.S. economy amid coronavirus rise.,true,true,0.9914
Accepting a friend request from a stranger will provide hackers with access to your computer and online accounts.,false,false,0.3885
"Heroin comes in the United States ""from the southern border.",true,true,0.408
Indiana city in jeopardy of losing animal health business.,true,true,0.991
Suzanne Somers advocates ‘natural’ approach when treating menopause,false,true,0.575
"Heparin recalled in France, Italy, Denmark: report.",true,true,0.9952
Experimental Drug Raises Good Cholesterol Levels in Early Trial,true,true,0.6155
One in 10 babies born in this country is born in Texas.,true,true,0.8416
"Too many people missing out on health benefits of golf, says expert panel",false,true,0.985
Atheists are trying to ban Bibles from all hotel rooms.,mixture,true,0.4805
"Wikileaks’ dump of John Podesta’s e-mails reveal conversations he had with a former NASA astronaut about the existence of aliens, alien technology, and space warfare.",mixture,true,0.6681
"Page 92 of the House health care bill ""says specifically that people can't purchase private health insurance after a date certain.",false,true,0.3803
Spending on mental health went up by £575 million last year.,unproven,true,0.6528
A few drops of Visine brand eye drops taken internally will induce uncontrollable diarrhea.,false,false,0.2997
FDA Approves Bayer's Kyleena™ (Levonorgestrel-Releasing Intrauterine System) 19.5 mg for Prevention of Pregnancy for up to Five Years,true,true,0.9662
Nebraska Sen. Bolz to run for 1st Congressional District.,true,true,0.9828
"Charlie Crist Says Rick Scott signed ""laws requiring mandatory ultrasounds and restricting access to abortion even in cases of rape or incest.",true,false,0.3911
UN: Nearly a half-billion in Asia-Pacific still going hungry.,true,true,0.9918
New York hospital sends some 'borderline' COVID-19 patients home with oxygen monitors.,true,true,0.9936
Fitness experts separate folklore from fact.,true,false,0.3909
Donald Trump Says the USMCA is the “biggest trade deal ever made.”,false,false,0.419
Women in the United States are 50 percent more likely to die from pregnancy or childbirth-related causes compared to their mothers.,true,true,0.6647
Expert Panel Reaffirms Need for Colon Cancer Screen Beginning at Age 50,true,true,0.9823
Okposo says he’s healthy after concussion put him in ICU.,true,true,0.9899
"To reverse damage of sitting, take a brisk, hour-long walk",true,true,0.5253
"Idaho officials say cat has rabies, first case in decades.",true,true,0.9941
A teenage schoolgirl in Texas became pregnant through a flu vaccination.,false,true,0.9017
"Last month, 20,000 migrant children were illegally brought into the United States. ... These children are used as human pawns by vicious coyotes and ruthless gangs.",unproven,false,0.4919
Weight loss can be boosted fivefold thanks to novel mental imagery technique,mixture,true,0.4143
"The most likely triggering cause of (microcephaly)"" is the ""DTaP shot, a vaccine that had been recently mandated by the Brazilian government to be injected into pregnant women.",false,false,0.6139
2 Aussie wildfires merge into inferno; man seriously burned.,true,true,0.8956
"Lamont fills top public health, insurance agency jobs.",true,true,0.9886
The city of Atlanta has $56 million in its reserves.,true,true,0.9379
CVI: The impairment affecting children whose eyes are fine.,true,true,0.7183
"Leticia Van de Putte ""voted to give illegal immigrants in this country free health care--not emergency health care but total free health care.",false,false,0.4141
Talk radio host Rush Limbaugh was disqualified from the Vietnam-era draft due to a pilonidal cyst.,unproven,true,0.3964
Immigration authorities are taking rosaries away from immigrants at the border.,true,true,0.9708
Marco Rubio thinks that government shouldn't be in the health care business at all.,false,true,0.6475
5 convicted in meningitis outbreak case; 1 acquitted.,true,true,0.8274
A list compiles Andy Rooney's wry observations on a variety of topics.,false,true,0.9167
"“The flu killed 80,000 Americans last year according to the CDC.”",false,true,0.3473
"Taiwan's 'holy pig' festival cruel, says rights group.",true,true,0.9839
"For thousands of public employees, Wisconsin Gov. Scott Walker’s budget-repair bill would ""take away any say they have in the workplace, and eliminate their union.",mixture,false,0.3853
"An image shows reported cases of ""flesh eating bacteria"" in 2019.",false,true,0.3879
Some grocery store receipts contain chemicals linked to infertility and hormone-related cancers.,true,false,0.3651
FDA advisory panel backs Merck's blood clot-preventing drug.,true,true,0.9969
Over a dozen arrests in SC following 4th Poor People’s Rally.,true,true,0.978
"The Black Panther Party created the Women, Infants, and Children (WIC) program that provides supplemental food assistance to single mothers and their children.",false,true,0.4316
"A photograph shows a dead man whose unwitting co-workers arranged a ""funny selfie,"" believing he was just sleeping.",false,true,0.7699
"Swiss police arrest ""healer"" accused of infecting 16 with HIV.",true,true,0.992
A photograh showing a body of water with two distinct colors is a permanent location where the Mississippi River meets the Gulf of Mexico.,mixture,true,0.7039
NASA and NOAA faked climate data in the GISTEMP global temperature record to exaggerate global warming.,false,false,0.5023
A photo shows Democratic U.S. Rep. Maxine Waters and House Speaker Nancy Pelosi posing and smiling in front of a Trump 2020 sign.,false,true,0.9244
"Illegal tobacco sales, price driven too high, has been connected to at least several cases of funding terrorism against us in multi-year investigations over the last decade and a half.",true,false,0.3771
"John Holdren, director of the White House Office of Science and Technology Policy, ""has proposed forcing abortions and putting sterilants in the drinking water to control population.",false,false,0.3887
"U.S. Senator Kamala Harris bragged, boasted or laughed about prosecuting a homeless single mother in a January 2010 speech.",mixture,true,0.4528
Merck wins UK okay for Keytruda in lung cancer after price cut.,true,true,0.9912
In the last six years of Cianci’s administration violent crime was down in the United States. It was down in the region. It was down in Rhode Island. But it was up in Providence.,true,true,0.7406
Many younger U.S. adults skipping flu shots: report.,true,true,0.9951
"The FDA has updated its warnings for — and recommended limitations on — prescribing a class of antibiotics called fluoroquinolones, citing potentially irreversible side-effects including tendon damage and rupture.",true,true,0.3224
The WHO coronavirus test “was a bad test.”,false,false,0.4757
"On September 18 2020, Twitter user @JohnCammo tweeted that President Trump's ""October Surprise"" would involve a positive test result.",true,true,0.4141
On mandatory ultrasounds before abortions.,true,true,0.884
Tougher vaccine rules move forward in California.,true,true,0.9871
"Facebook post Says ""there is no"" COVID-19 virus.",false,false,0.8018
Deborah Harry was nearly abducted by serial killer Ted Bundy in New York and narrowly escaped with her life.,unproven,false,0.4243
"Drug Policy Alliance Says Debbie Wasserman Schultz ""voted repeatedly to send terminally ill patients to prison.",false,false,0.3728
French breast implant boss arrested.,true,true,0.9887
The Healthy Skeptic: Products make testosterone claims,true,false,0.5987
Oregon 2nd-grader diagnosed with meningococcal meningitis.,true,true,0.9946
Blood Test May Predict Rheumatoid Arthritis,false,true,0.3006
'Female Viagra' gets mixed reviews,false,true,0.4656
U.S. coronavirus supply spree sparks outrage among allies.,true,true,0.9927
Photographs show a new Chinese aircraft carrier.,unproven,true,0.9766
Facebook post Says businesses will give you free baby formula during the coronavirus outbreak.,false,true,0.3256
"Beth Chapman, wife of Duane “Dog” Chapman from the reality TV show “Dog the Bounty Hunter,” died in April 2019.",mixture,true,0.327
"During the August 2017 solar eclipse, some people in California applied sunscreen to their eyeballs in a mistaken attempt to protect their eyes from damage.",unproven,false,0.4888
"The IRS is going to be ""in charge"" of ""a huge national database"" on health care that will include Americans’ ""personal, intimate, most close-to-the-vest-secrets.",false,false,0.4103
